"SourceContinent","ExporterContinent","ConsumerContinent","Nutrient","Unit","Value","rec_intake_adults","rni_amount"
"Africa","Africa","PICs","Protein","g",6377942797.3939,50,127558855.947878
"Africa","Africa","PICs","Fattyacids","g",560257724.032343,1.4,400184088.59453
"Africa","Africa","PICs","Calcium","mg",23770777146.5089,1300,18285213.1896222
"Africa","Africa","PICs","Zinc","mg",390594928.507163,11,35508629.8642875
"Africa","Africa","PICs","Iron","mg",645925151.453918,18,35884730.6363288
"Africa","Africa","PICs","Vitamina","mcg",13929668442.2392,900,15477409.3802658
"Africa","Africa","PICs","Vitaminb12","mcg",4539023555.9434,2.4,1891259814.97642
"Africa","Americas","PICs","Protein","g",62971826.9760913,50,1259436.53952183
"Africa","Americas","PICs","Fattyacids","g",5447728.01890468,1.4,3891234.29921763
"Africa","Americas","PICs","Calcium","mg",203390950.870032,1300,156454.577592332
"Africa","Americas","PICs","Zinc","mg",3376291.77324024,11,306935.615749112
"Africa","Americas","PICs","Iron","mg",5511527.42145757,18,306195.967858754
"Africa","Americas","PICs","Vitamina","mcg",101077651.25901,900,112308.5013989
"Africa","Americas","PICs","Vitaminb12","mcg",35841769.7158731,2.4,14934070.7149471
"Africa","Asia","PICs","Protein","g",1079465529.43729,50,21589310.5887457
"Africa","Asia","PICs","Fattyacids","g",80577779.4682872,1.4,57555556.7630623
"Africa","Asia","PICs","Calcium","mg",3413332623.3669,1300,2625640.479513
"Africa","Asia","PICs","Zinc","mg",60235152.0104963,11,5475922.91004512
"Africa","Asia","PICs","Iron","mg",89896350.1429364,18,4994241.67460758
"Africa","Asia","PICs","Vitamina","mcg",1502075616.1322,900,1668972.90681355
"Africa","Asia","PICs","Vitaminb12","mcg",561669125.137149,2.4,234028802.140479
"Africa","Europe","PICs","Protein","g",30548504.9425547,50,610970.098851094
"Africa","Europe","PICs","Fattyacids","g",955798.305676605,1.4,682713.075483289
"Africa","Europe","PICs","Calcium","mg",24065406.0840675,1300,18511.850833898
"Africa","Europe","PICs","Zinc","mg",1141677.00184373,11,103788.81834943
"Africa","Europe","PICs","Iron","mg",2225900.70062972,18,123661.150034984
"Africa","Europe","PICs","Vitamina","mcg",24605004.7114052,900,27338.8941237835
"Africa","Europe","PICs","Vitaminb12","mcg",9847863.73434561,2.4,4103276.55597734
"Africa","Oceania","Africa","Protein","g",27701841.4567742,50,554036.829135485
"Africa","Oceania","Africa","Fattyacids","g",2538415.98731255,1.4,1813154.27665182
"Africa","Oceania","Africa","Calcium","mg",117712735.330385,1300,90548.2579464497
"Africa","Oceania","Africa","Zinc","mg",1832692.32814547,11,166608.39346777
"Africa","Oceania","Africa","Iron","mg",2831928.50046085,18,157329.361136714
"Africa","Oceania","Africa","Vitamina","mcg",55870515.6291606,900,62078.3506990673
"Africa","Oceania","Africa","Vitaminb12","mcg",19626724.0607128,2.4,8177801.69196368
"Africa","Oceania","Americas","Protein","g",455175109.841489,50,9103502.19682977
"Africa","Oceania","Americas","Fattyacids","g",34907639.0359375,1.4,24934027.8828125
"Africa","Oceania","Americas","Calcium","mg",1395332044.41007,1300,1073332.3418539
"Africa","Oceania","Americas","Zinc","mg",24464839.8102681,11,2224076.34638801
"Africa","Oceania","Americas","Iron","mg",41895151.6786892,18,2327508.42659384
"Africa","Oceania","Americas","Vitamina","mcg",901792062.183602,900,1001991.180204
"Africa","Oceania","Americas","Vitaminb12","mcg",282269526.588673,2.4,117612302.745281
