"SourceContinent","ExporterContinent","ConsumerContinent","year","Nutrient","Unit","Value","rec_intake_adults","rni_amount"
"Africa","Africa","PICs",2007,"Protein","g",92344736.8505818,50,1846894.73701164
"Africa","Africa","PICs",2007,"Fattyacids","g",8742266.23887862,1.4,6244475.8849133
"Africa","Africa","PICs",2007,"Calcium","mg",356453934.327706,1300,274195.334098235
"Africa","Africa","PICs",2007,"Zinc","mg",5933980.1098742,11,539452.737261291
"Africa","Africa","PICs",2007,"Iron","mg",10256560.6841185,18,569808.926895474
"Africa","Africa","PICs",2007,"Vitamina","mcg",219782199.65294,900,244202.444058822
"Africa","Africa","PICs",2007,"Vitaminb12","mcg",76657708.0937266,2.4,31940711.7057194
"Africa","Africa","PICs",2008,"Protein","g",397741147.088476,50,7954822.94176952
"Africa","Africa","PICs",2008,"Fattyacids","g",31648661.7096884,1.4,22606186.9354917
"Africa","Africa","PICs",2008,"Calcium","mg",1282758213.8057,1300,986737.087542848
"Africa","Africa","PICs",2008,"Zinc","mg",22222106.7196303,11,2020191.51996639
"Africa","Africa","PICs",2008,"Iron","mg",38340893.4182796,18,2130049.63434887
"Africa","Africa","PICs",2008,"Vitamina","mcg",854299195.177493,900,949221.327974992
"Africa","Africa","PICs",2008,"Vitaminb12","mcg",266883893.113845,2.4,111201622.130769
"Africa","Africa","PICs",2009,"Protein","g",1184703206.56537,50,23694064.1313075
"Africa","Africa","PICs",2009,"Fattyacids","g",105727064.057667,1.4,75519331.4697622
"Africa","Africa","PICs",2009,"Calcium","mg",4295700675.18134,1300,3304385.13475487
"Africa","Africa","PICs",2009,"Zinc","mg",72547146.9805272,11,6595195.18004793
"Africa","Africa","PICs",2009,"Iron","mg",123409989.810594,18,6856110.54503297
"Africa","Africa","PICs",2009,"Vitamina","mcg",2627479675.30645,900,2919421.86145162
"Africa","Africa","PICs",2009,"Vitaminb12","mcg",903337889.440815,2.4,376390787.267006
"Africa","Africa","PICs",2010,"Protein","g",1549548717.76332,50,30990974.3552663
"Africa","Africa","PICs",2010,"Fattyacids","g",135919188.856941,1.4,97085134.8978147
"Africa","Africa","PICs",2010,"Calcium","mg",5722349355.07112,1300,4401807.19620855
"Africa","Africa","PICs",2010,"Zinc","mg",94823492.0646329,11,8620317.46042117
"Africa","Africa","PICs",2010,"Iron","mg",162642367.162416,18,9035687.06457866
