"year","degree_in","degree_out","betweenness","closeness","density","avg_path_length","modularity"
2007,7.44444444444444,7.44444444444444,2,9.75200737825235e-10,0.437908496732026,25785491.0224446,0.228984069387565
2008,8.22222222222222,8.22222222222222,2,1.06260485059053e-09,0.483660130718954,23303876.9098667,0.235454032767618
2009,8.88888888888889,8.88888888888889,2,1.1089658690491e-09,0.522875816993464,23449958.9889495,0.232135641312413
2010,8.88888888888889,8.88888888888889,2,1.09176846469133e-09,0.522875816993464,24247809.6222656,0.233821446511064
2011,8.88888888888889,8.88888888888889,2,3.08821998952393e-09,0.522875816993464,14768962.4128432,0.178930719491821
2012,8.55555555555556,8.55555555555556,2,1.28968250693293e-09,0.503267973856209,23127948.2040383,0.218442939339473
2013,8.55555555555556,8.55555555555556,2,1.02363248073833e-09,0.503267973856209,26478570.7250891,0.224781268348922
2014,8.77777777777778,8.77777777777778,2,8.68669064587436e-10,0.516339869281046,31686257.9204172,0.243546101548632
2015,8.44444444444444,8.44444444444444,2,1.10936524068116e-09,0.496732026143791,29387173.0813065,0.21506547386112
2016,8.11111111111111,8.11111111111111,2,1.26798357418193e-09,0.477124183006536,28784052.9721853,0.169534384362887
2017,8.44444444444444,8.44444444444444,2,2.00890662270987e-09,0.496732026143791,21863109.6528842,0.176184333824342
2018,8.88888888888889,8.88888888888889,2,1.79315023060003e-09,0.522875816993464,23251797.2968036,0.181357032131302
2019,7.77777777777778,7.77777777777778,2,2.09487574716911e-09,0.457516339869281,22687605.4592277,0.175186151646642
2020,7.44444444444444,7.44444444444444,2,2.39459561306365e-09,0.437908496732026,20549447.1501469,0.18512393137112
