"year","node","degree_in","degree_out","betweenness","closeness","strength_in","strength_out","strength_diff"
2007,"Africa_Source",0,8,0,1.02897269825626e-09,0,2934360.63684347,-2934360.63684347
2007,"Americas_Source",0,9,0,1.029375919358e-09,0,16739462.4379143,-16739462.4379143
2007,"Asia_Source",0,8,0,1.02839057423249e-09,0,82298696.3282132,-82298696.3282132
2007,"Europe_Source",0,7,0,1.02950189544231e-09,0,4385869.93249973,-4385869.93249973
2007,"Oceania_Source",0,7,0,1.02931190970392e-09,0,18081274.7876374,-18081274.7876374
2007,"PICs_Source",0,28,0,1.0294922969612e-09,0,1685041704.90757,-1685041704.90757
2007,"Africa_Exporter",6,6,5,1.02945433206275e-09,2932409.00160069,2932409.00160069,0
2007,"Americas_Exporter",10,10,4,1.02948407159078e-09,26772421.171287,26772421.171287,0
2007,"Asia_Exporter",11,11,0,1.02751278219832e-09,400431112.060093,400431112.060093,5.96046447753906e-08
2007,"Europe_Exporter",10,10,5,1.02946529665412e-09,21786900.5944591,21786900.5944591,0
2007,"Oceania_Exporter",29,29,22,1.02950382961337e-09,386745405.260405,386745405.260405,-5.96046447753906e-08
2007,"PICs_Exporter",1,1,0,6.0590131171688e-11,970813120.942831,970813120.942831,0
2007,"PICs_Consumer",24,0,0,1.02950334606992e-09,1079630922.00702,0,1079630922.00702
2007,"Americas_Consumer",10,0,0,1.02889127216215e-09,183231712.839912,0,183231712.839912
2007,"Asia_Consumer",10,0,0,1.02888405162037e-09,270763061.667496,0,270763061.667496
2007,"Europe_Consumer",10,0,0,1.02649574566044e-09,182819044.149754,0,182819044.149754
2007,"Oceania_Consumer",8,0,0,1.02947721721582e-09,34483615.6758222,0,34483615.6758222
2007,"Africa_Consumer",5,0,0,1.02930591088031e-09,58553012.6906701,0,58553012.6906701
2008,"Africa_Source",0,9,0,1.12125421195389e-09,0,22063163.9999095,-22063163.9999095
2008,"Americas_Source",0,10,0,1.12197156148055e-09,0,28305622.0104127,-28305622.0104127
2008,"Asia_Source",0,10,0,1.12171118566577e-09,0,86698284.6046712,-86698284.6046712
2008,"Europe_Source",0,9,0,1.12163633887813e-09,0,13650898.5408919,-13650898.5408919
2008,"Oceania_Source",0,8,0,1.12192415250042e-09,0,26986872.8378473,-26986872.8378473
2008,"PICs_Source",0,28,0,1.12209561413773e-09,0,1548050809.87616,-1548050809.87616
2008,"Africa_Exporter",8,8,9,1.12194695840737e-09,9049141.67259006,9049141.67259006,0
2008,"Americas_Exporter",11,11,4,1.12178446953172e-09,70942268.0819563,70942268.0819563,0
2008,"Asia_Exporter",11,11,0,1.11764670670753e-09,336831671.455195,336831671.455195,-5.96046447753906e-08
2008,"Europe_Exporter",10,10,7,1.12211397642017e-09,31266567.662996,31266567.662996,0
2008,"Oceania_Exporter",33,33,16,1.12201474449191e-09,387405326.358318,387405326.358318,0
2008,"PICs_Exporter",1,1,0,6.60707037247359e-11,890260676.638833,890260676.638833,0
2008,"PICs_Consumer",28,0,0,1.12194548211183e-09,1027121048.7947,0,1027121048.7947
2008,"Americas_Consumer",10,0,0,1.12174881202623e-09,221189215.033743,0,221189215.033743
2008,"Asia_Consumer",10,0,0,1.11979805060697e-09,266039698.702727,0,266039698.702727
2008,"Europe_Consumer",10,0,0,1.11714339471071e-09,129561676.545134,0,129561676.545134
2008,"Oceania_Consumer",9,0,0,1.12210938579322e-09,30909755.4111143,0,30909755.4111143
2008,"Africa_Consumer",7,0,0,1.12197156148055e-09,50934257.3824726,0,50934257.3824726
2009,"Africa_Source",0,10,0,1.1713685785997e-09,0,37201393.1542251,-37201393.1542251
2009,"Americas_Source",0,10,0,1.17102762854027e-09,0,31742650.4293775,-31742650.4293775
2009,"Asia_Source",0,10,0,1.1706526875229e-09,0,150150330.654807,-150150330.654807
2009,"Europe_Source",0,10,0,1.17148593615532e-09,0,8152733.80202336,-8152733.80202336
2009,"Oceania_Source",0,9,0,1.17158411595609e-09,0,23311296.0678184,-23311296.0678184
2009,"PICs_Source",0,31,0,1.17158767835444e-09,0,1684484269.38715,-1684484269.38715
2009,"Africa_Exporter",11,11,10,1.17160007040633e-09,26239670.8797444,26239670.8797444,0
2009,"Americas_Exporter",11,11,0,1.17127204937582e-09,63517677.9849712,63517677.9849712,7.45058059692383e-09
2009,"Asia_Exporter",11,11,0,1.16148061282222e-09,428697090.291513,428697090.291513,0
2009,"Europe_Exporter",10,10,7,1.17154909214189e-09,43284030.1963037,43284030.1963036,7.45058059692383e-09
2009,"Oceania_Exporter",36,36,19,1.17160743227537e-09,521163213.949616,521163213.949616,5.96046447753906e-08
2009,"PICs_Exporter",1,1,0,6.90236426648223e-11,852140990.193254,852140990.193254,0
2009,"PICs_Consumer",30,0,0,1.17157941713215e-09,1046339310.70724,0,1046339310.70724
2009,"Africa_Consumer",10,0,0,1.17146511050237e-09,57089553.3444632,0,57089553.3444632
2009,"Americas_Consumer",10,0,0,1.17075455230569e-09,225357746.593718,0,225357746.593718
2009,"Asia_Consumer",10,0,0,1.16067540185273e-09,396843497.59226,0,396843497.59226
2009,"Europe_Consumer",10,0,0,1.17109329074101e-09,166914211.227304,0,166914211.227304
2009,"Oceania_Consumer",10,0,0,1.17157834553469e-09,42498354.0304213,0,42498354.0304213
2010,"Africa_Source",0,10,0,1.15347660059185e-09,0,48317584.1259042,-48317584.1259042
2010,"Americas_Source",0,10,0,1.15291381264301e-09,0,33093615.0657461,-33093615.0657461
2010,"Asia_Source",0,10,0,1.15288473677496e-09,0,184171394.720566,-184171394.720566
2010,"Europe_Source",0,10,0,1.1536620624832e-09,0,12423090.7319717,-12423090.7319717
2010,"Oceania_Source",0,9,0,1.15340701482646e-09,0,23921922.8854797,-23921922.8854797
2010,"PICs_Source",0,31,0,1.15382396454021e-09,0,1691580248.54748,-1691580248.54748
2010,"Africa_Exporter",11,11,6,1.15280189300084e-09,35309374.1632,35309374.1632,0
2010,"Americas_Exporter",11,11,1,1.15325898764164e-09,56591276.6800231,56591276.6800231,7.45058059692383e-09
2010,"Asia_Exporter",11,11,0,1.13527203369031e-09,484184881.428091,484184881.428091,-5.96046447753906e-08
2010,"Europe_Exporter",10,10,7,1.15383152964586e-09,34812931.8478768,34812931.8478768,7.45058059692383e-09
2010,"Oceania_Exporter",36,36,22,1.15382020490239e-09,517871141.367141,517871141.367141,1.19209289550781e-07
2010,"PICs_Exporter",1,1,0,6.80156848572726e-11,864738250.590816,864738250.590816,0
2010,"PICs_Consumer",30,0,0,1.1538220732793e-09,1094996340.4751,0,1094996340.4751
2010,"Africa_Consumer",10,0,0,1.15346076630463e-09,68195675.4752775,0,68195675.4752775
2010,"Americas_Consumer",10,0,0,1.1510480220384e-09,230793201.886513,0,230793201.886513
2010,"Asia_Consumer",10,0,0,1.14938881925887e-09,384727201.241835,0,384727201.241835
2010,"Europe_Consumer",10,0,0,1.15312395306228e-09,176605210.384352,0,176605210.384352
2010,"Oceania_Consumer",10,0,0,1.15382020490239e-09,38190226.6140758,0,38190226.6140758
2011,"Africa_Source",0,10,0,3.27884598694233e-09,0,25016557.8636606,-25016557.8636606
2011,"Americas_Source",0,10,0,3.27530065021159e-09,0,28559343.6583837,-28559343.6583837
2011,"Asia_Source",0,10,0,3.21096546252983e-09,0,276700771.637967,-276700771.637967
2011,"Europe_Source",0,10,0,3.27721658315699e-09,0,27301880.4393548,-27301880.4393548
2011,"Oceania_Source",0,10,0,3.27839227865968e-09,0,27053535.5193183,-27053535.5193183
2011,"PICs_Source",0,30,0,3.27841741664993e-09,0,1654397948.13675,-1654397948.13675
2011,"Africa_Exporter",10,10,2,3.27811664469571e-09,26492632.5989387,26492632.5989387,0
2011,"Americas_Exporter",11,11,3,3.27922870284842e-09,53756173.2764646,53756173.2764646,-7.45058059692383e-09
2011,"Asia_Exporter",11,11,0,3.07216273290714e-09,701384085.159701,701384085.159701,1.19209289550781e-07
2011,"Europe_Exporter",11,11,7,3.27834671051112e-09,46377435.5797048,46377435.5797048,0
2011,"Oceania_Exporter",36,36,24,3.27938859614814e-09,908359900.24658,908359900.246581,-2.38418579101562e-07
2011,"PICs_Exporter",1,1,0,1.94269077955327e-10,302659810.394047,302659810.394047,0
2011,"PICs_Consumer",30,0,0,3.27852642307858e-09,629053154.576976,0,629053154.576976
