"SourceContinent","ExporterContinent","ConsumerContinent","Nutrient","Unit","Value"
"Africa","Africa","PICs","Protein","g",6377942797.3939
"Africa","Africa","PICs","Fattyacids","g",560257724.032343
"Africa","Africa","PICs","Calcium","mg",23770777146.5089
"Africa","Africa","PICs","Zinc","mg",390594928.507163
"Africa","Africa","PICs","Iron","mg",645925151.453918
"Africa","Africa","PICs","Vitamina","mcg",13929668442.2392
"Africa","Africa","PICs","Vitaminb12","mcg",4539023555.9434
"Africa","Americas","PICs","Protein","g",62971826.9760913
"Africa","Americas","PICs","Fattyacids","g",5447728.01890468
"Africa","Americas","PICs","Calcium","mg",203390950.870032
"Africa","Americas","PICs","Zinc","mg",3376291.77324024
"Africa","Americas","PICs","Iron","mg",5511527.42145757
"Africa","Americas","PICs","Vitamina","mcg",101077651.25901
"Africa","Americas","PICs","Vitaminb12","mcg",35841769.7158731
"Africa","Asia","PICs","Protein","g",1079465529.43729
"Africa","Asia","PICs","Fattyacids","g",80577779.4682872
"Africa","Asia","PICs","Calcium","mg",3413332623.3669
"Africa","Asia","PICs","Zinc","mg",60235152.0104963
"Africa","Asia","PICs","Iron","mg",89896350.1429364
"Africa","Asia","PICs","Vitamina","mcg",1502075616.1322
"Africa","Asia","PICs","Vitaminb12","mcg",561669125.137149
"Africa","Europe","PICs","Protein","g",30548504.9425547
"Africa","Europe","PICs","Fattyacids","g",955798.305676605
"Africa","Europe","PICs","Calcium","mg",24065406.0840675
"Africa","Europe","PICs","Zinc","mg",1141677.00184373
"Africa","Europe","PICs","Iron","mg",2225900.70062972
"Africa","Europe","PICs","Vitamina","mcg",24605004.7114052
"Africa","Europe","PICs","Vitaminb12","mcg",9847863.73434561
"Africa","Oceania","PICs","Protein","g",567632499.951748
"Africa","Oceania","PICs","Fattyacids","g",52956154.1012955
"Africa","Oceania","PICs","Calcium","mg",2151091063.08776
"Africa","Oceania","PICs","Zinc","mg",35273986.8369791
"Africa","Oceania","PICs","Iron","mg",59851911.4433113
"Africa","Oceania","PICs","Vitamina","mcg",1255866836.08252
"Africa","Oceania","PICs","Vitaminb12","mcg",436669539.147688
"Africa","PICs","Africa","Protein","g",27701841.4567742
"Africa","PICs","Africa","Fattyacids","g",2538415.98731255
"Africa","PICs","Africa","Calcium","mg",117712735.330385
"Africa","PICs","Africa","Zinc","mg",1832692.32814547
"Africa","PICs","Africa","Iron","mg",2831928.50046085
"Africa","PICs","Africa","Vitamina","mcg",55870515.6291606
"Africa","PICs","Africa","Vitaminb12","mcg",19626724.0607128
"Africa","PICs","Americas","Protein","g",455175109.841489
"Africa","PICs","Americas","Fattyacids","g",34907639.0359375
"Africa","PICs","Americas","Calcium","mg",1395332044.41007
"Africa","PICs","Americas","Zinc","mg",24464839.8102681
"Africa","PICs","Americas","Iron","mg",41895151.6786892
"Africa","PICs","Americas","Vitamina","mcg",901792062.183602
