"SourceContinent","ExporterContinent","ConsumerContinent","year","Nutrient","Unit","Value"
"Africa","Africa","PICs",2007,"Protein","g",92344736.8505818
"Africa","Africa","PICs",2007,"Fattyacids","g",8742266.23887862
"Africa","Africa","PICs",2007,"Calcium","mg",356453934.327706
"Africa","Africa","PICs",2007,"Zinc","mg",5933980.1098742
"Africa","Africa","PICs",2007,"Iron","mg",10256560.6841185
"Africa","Africa","PICs",2007,"Vitamina","mcg",219782199.65294
"Africa","Africa","PICs",2007,"Vitaminb12","mcg",76657708.0937266
"Africa","Africa","PICs",2008,"Protein","g",397741147.088476
"Africa","Africa","PICs",2008,"Fattyacids","g",31648661.7096884
"Africa","Africa","PICs",2008,"Calcium","mg",1282758213.8057
"Africa","Africa","PICs",2008,"Zinc","mg",22222106.7196303
"Africa","Africa","PICs",2008,"Iron","mg",38340893.4182796
"Africa","Africa","PICs",2008,"Vitamina","mcg",854299195.177493
"Africa","Africa","PICs",2008,"Vitaminb12","mcg",266883893.113845
"Africa","Africa","PICs",2009,"Protein","g",1184703206.56537
"Africa","Africa","PICs",2009,"Fattyacids","g",105727064.057667
"Africa","Africa","PICs",2009,"Calcium","mg",4295700675.18134
"Africa","Africa","PICs",2009,"Zinc","mg",72547146.9805272
"Africa","Africa","PICs",2009,"Iron","mg",123409989.810594
"Africa","Africa","PICs",2009,"Vitamina","mcg",2627479675.30645
"Africa","Africa","PICs",2009,"Vitaminb12","mcg",903337889.440815
"Africa","Africa","PICs",2010,"Protein","g",1549548717.76332
"Africa","Africa","PICs",2010,"Fattyacids","g",135919188.856941
"Africa","Africa","PICs",2010,"Calcium","mg",5722349355.07112
"Africa","Africa","PICs",2010,"Zinc","mg",94823492.0646329
"Africa","Africa","PICs",2010,"Iron","mg",162642367.162416
"Africa","Africa","PICs",2010,"Vitamina","mcg",3761735608.88485
"Africa","Africa","PICs",2010,"Vitaminb12","mcg",1175136649.57111
"Africa","Africa","PICs",2011,"Protein","g",1057349718.1918
"Africa","Africa","PICs",2011,"Fattyacids","g",95182367.7772824
"Africa","Africa","PICs",2011,"Calcium","mg",4616330431.29471
"Africa","Africa","PICs",2011,"Zinc","mg",71607615.9901539
"Africa","Africa","PICs",2011,"Iron","mg",105787250.084177
"Africa","Africa","PICs",2011,"Vitamina","mcg",2031531154.74922
"Africa","Africa","PICs",2011,"Vitaminb12","mcg",681245076.183933
"Africa","Africa","PICs",2012,"Protein","g",683601720.02571
"Africa","Africa","PICs",2012,"Fattyacids","g",57534004.1238732
"Africa","Africa","PICs",2012,"Calcium","mg",2448074883.65398
"Africa","Africa","PICs",2012,"Zinc","mg",40884898.7044
"Africa","Africa","PICs",2012,"Iron","mg",68015667.6683523
"Africa","Africa","PICs",2012,"Vitamina","mcg",1597885107.3089
"Africa","Africa","PICs",2012,"Vitaminb12","mcg",468222269.837717
"Africa","Africa","PICs",2013,"Protein","g",335018662.854765
"Africa","Africa","PICs",2013,"Fattyacids","g",30973563.3253057
"Africa","Africa","PICs",2013,"Calcium","mg",1270596622.65998
"Africa","Africa","PICs",2013,"Zinc","mg",21193157.5058775
"Africa","Africa","PICs",2013,"Iron","mg",36301104.1270486
"Africa","Africa","PICs",2013,"Vitamina","mcg",767005912.623901
"Africa","Africa","PICs",2013,"Vitaminb12","mcg",265830738.852283
"Africa","Africa","PICs",2014,"Protein","g",302177658.120513
"Africa","Africa","PICs",2014,"Fattyacids","g",26917307.8866647
"Africa","Africa","PICs",2014,"Calcium","mg",1109166790.86315
"Africa","Africa","PICs",2014,"Zinc","mg",18371300.3168796
"Africa","Africa","PICs",2014,"Iron","mg",30861462.9863807
"Africa","Africa","PICs",2014,"Vitamina","mcg",643518690.529066
"Africa","Africa","PICs",2014,"Vitaminb12","mcg",219690271.606175
"Africa","Africa","PICs",2015,"Protein","g",192907453.08396
"Africa","Africa","PICs",2015,"Fattyacids","g",17317612.507152
"Africa","Africa","PICs",2015,"Calcium","mg",666449440.086277
"Africa","Africa","PICs",2015,"Zinc","mg",10769772.0708425
"Africa","Africa","PICs",2015,"Iron","mg",18067677.7229518
"Africa","Africa","PICs",2015,"Vitamina","mcg",370425554.745429
"Africa","Africa","PICs",2015,"Vitaminb12","mcg",126410297.11662
"Africa","Africa","PICs",2016,"Protein","g",248751064.382986
"Africa","Africa","PICs",2016,"Fattyacids","g",22387488.1089808
"Africa","Africa","PICs",2016,"Calcium","mg",896866087.892698
"Africa","Africa","PICs",2016,"Zinc","mg",14098924.0573451
"Africa","Africa","PICs",2016,"Iron","mg",22992324.9227237
"Africa","Africa","PICs",2016,"Vitamina","mcg",457207441.920123
"Africa","Africa","PICs",2016,"Vitaminb12","mcg",158951817.492989
"Africa","Africa","PICs",2017,"Protein","g",46303325.2393387
"Africa","Africa","PICs",2017,"Fattyacids","g",4039693.27238443
"Africa","Africa","PICs",2017,"Calcium","mg",163180945.122351
"Africa","Africa","PICs",2017,"Zinc","mg",2609385.80070196
"Africa","Africa","PICs",2017,"Iron","mg",4244404.00293002
"Africa","Africa","PICs",2017,"Vitamina","mcg",85771988.5544843
"Africa","Africa","PICs",2017,"Vitaminb12","mcg",29450287.6583349
"Africa","Africa","PICs",2018,"Protein","g",181080345.445212
"Africa","Africa","PICs",2018,"Fattyacids","g",14373117.9765081
"Africa","Africa","PICs",2018,"Calcium","mg",590211506.142939
"Africa","Africa","PICs",2018,"Zinc","mg",9472046.22074435
"Africa","Africa","PICs",2018,"Iron","mg",15307828.784148
"Africa","Africa","PICs",2018,"Vitamina","mcg",323808563.465287
"Africa","Africa","PICs",2018,"Vitaminb12","mcg",103245296.947999
"Africa","Africa","PICs",2019,"Protein","g",8998971.32806044
"Africa","Africa","PICs",2019,"Fattyacids","g",384065.52102411
"Africa","Africa","PICs",2019,"Calcium","mg",22246928.5980989
"Africa","Africa","PICs",2019,"Zinc","mg",930641.229114922
"Africa","Africa","PICs",2019,"Iron","mg",1081910.13677121
"Africa","Africa","PICs",2019,"Vitamina","mcg",18595084.8410855
"Africa","Africa","PICs",2019,"Vitaminb12","mcg",4933507.23596206
"Africa","Africa","PICs",2020,"Protein","g",97416070.4538024
"Africa","Africa","PICs",2020,"Fattyacids","g",9111322.66999232
"Africa","Africa","PICs",2020,"Calcium","mg",330391331.808802
"Africa","Africa","PICs",2020,"Zinc","mg",5130460.73643809
"Africa","Africa","PICs",2020,"Iron","mg",8615709.94302783
"Africa","Africa","PICs",2020,"Vitamina","mcg",170622264.479986
"Africa","Africa","PICs",2020,"Vitaminb12","mcg",59027852.7918905
"Africa","Americas","PICs",2007,"Protein","g",11802968.7396993
"Africa","Americas","PICs",2007,"Fattyacids","g",1101227.6366571
"Africa","Americas","PICs",2007,"Calcium","mg",38930990.0595248
"Africa","Americas","PICs",2007,"Zinc","mg",595901.705931271
"Africa","Americas","PICs",2007,"Iron","mg",994360.795988785
"Africa","Americas","PICs",2007,"Vitamina","mcg",19303268.8083134
"Africa","Americas","PICs",2007,"Vitaminb12","mcg",6658626.03350271
"Africa","Americas","PICs",2008,"Protein","g",2419964.01184582
"Africa","Americas","PICs",2008,"Fattyacids","g",144723.266140906
"Africa","Americas","PICs",2008,"Calcium","mg",5586391.70404021
"Africa","Americas","PICs",2008,"Zinc","mg",160247.668409539
"Africa","Americas","PICs",2008,"Iron","mg",255883.922773419
"Africa","Americas","PICs",2008,"Vitamina","mcg",3596692.94912581
"Africa","Americas","PICs",2008,"Vitaminb12","mcg",1426763.46472787
"Africa","Americas","PICs",2009,"Protein","g",1064521.73887472
"Africa","Americas","PICs",2009,"Fattyacids","g",44424.0995561595
"Africa","Americas","PICs",2009,"Calcium","mg",1904135.67051598
"Africa","Americas","PICs",2009,"Zinc","mg",59279.9373431738
"Africa","Americas","PICs",2009,"Iron","mg",80919.174076458
"Africa","Americas","PICs",2009,"Vitamina","mcg",1383880.96609318
"Africa","Americas","PICs",2009,"Vitaminb12","mcg",387077.226510873
"Africa","Americas","PICs",2010,"Protein","g",6187938.84385511
"Africa","Americas","PICs",2010,"Fattyacids","g",558376.496599896
"Africa","Americas","PICs",2010,"Calcium","mg",21635297.887597
"Africa","Americas","PICs",2010,"Zinc","mg",356491.493404018
"Africa","Americas","PICs",2010,"Iron","mg",557198.179694001
"Africa","Americas","PICs",2010,"Vitamina","mcg",9813585.94405427
"Africa","Americas","PICs",2010,"Vitaminb12","mcg",3551893.70964924
"Africa","Americas","PICs",2011,"Protein","g",5240998.40060113
"Africa","Americas","PICs",2011,"Fattyacids","g",483258.675889651
"Africa","Americas","PICs",2011,"Calcium","mg",19781589.7792528
"Africa","Americas","PICs",2011,"Zinc","mg",326184.418628044
"Africa","Americas","PICs",2011,"Iron","mg",554374.656382558
"Africa","Americas","PICs",2011,"Vitamina","mcg",11721725.0743424
"Africa","Americas","PICs",2011,"Vitaminb12","mcg",4072424.54562352
"Africa","Americas","PICs",2012,"Protein","g",2928830.69459976
"Africa","Americas","PICs",2012,"Fattyacids","g",275374.226910552
"Africa","Americas","PICs",2012,"Calcium","mg",11140854.4171987
"Africa","Americas","PICs",2012,"Zinc","mg",175281.866577014
"Africa","Americas","PICs",2012,"Iron","mg",290484.824918046
"Africa","Americas","PICs",2012,"Vitamina","mcg",5821327.48974906
