"Country","average_fulfillment_ratio","min_fulfillment_ratio","nutrient_deficiency_count","rni_avg_zscore"
"AFG",0,0,7,0.119243625607352
"AGO",0.000411475968814926,3.5278553042177e-06,7,0.119652445504374
"ALB",0,0,7,0.119243625607352
"ARE",0.00356349535448508,4.20525762653995e-05,7,0.122907698648903
"ARG",0.000553747779209446,6.44399442920281e-06,7,0.119795349416593
"ARM",0,0,7,0.119243625607352
"ATG",0,0,7,0.119243625607352
"AUS",0.00612158514278336,3.73011113016817e-05,7,0.125085011746945
"AUT",0,0,7,0.119243625607352
"AZE",0,0,7,0.119243625607352
"BDI",0,0,7,0.119243625607352
"BEL",0,0,7,0.119243625607352
"BEN",0,0,7,0.119243625607352
"BFA",0,0,7,0.119243625607352
"BGD",1.22201551583039e-06,2.90176299464212e-08,7,0.119245178316623
"BGR",0.000171834147042089,2.0115357959871e-06,7,0.119416619604757
"BHR",0.00134408758233219,1.83991880642255e-05,7,0.120664351957493
"BHS",0.00659293194253192,8.77617256697601e-05,7,0.126179838828767
"BIH",0,0,7,0.119243625607352
"BLR",0,0,7,0.119243625607352
"BLZ",-8.73540551771377e-05,-0.000415258676495123,7,0.1191339816695
"BOL",0,0,7,0.119243625607352
"BRA",3.07665202891638e-05,5.48955632650617e-07,7,0.119279656107996
"BRB",0.00677545425618634,0.000191310596869557,7,0.128372750400515
"BRN",0.000799012826293685,7.28354741488968e-06,7,0.120007316585917
"BTN",0,0,7,0.119243625607352
"BWA",0,0,7,0.119243625607352
"CAF",0,0,7,0.119243625607352
"CAN",0.0025757168019383,3.10750372291583e-05,7,0.121962990190027
"CHE",0,0,7,0.119243625607352
"CHL",0.00128471990435463,-8.1780630317676e-05,7,0.120348862039378
"CHN",-0.000558121589686653,-0.00271371022629357,7,0.118451654329413
"CIV",3.00722689924642e-05,1.01467602735505e-06,7,0.11929132290317
"CMR",0,0,7,0.119243625607352
"COD",0,0,7,0.119243625607352
"COG",1.58064269908055e-05,5.12884134448202e-08,7,0.119257051368399
"COL",0.000236784504658294,8.17620050753896e-06,7,0.119610822200831
"COM",0,0,7,0.119243625607352
"CPV",0.001830261733774,3.8779000765284e-05,7,0.121371540127426
"CRI",0.001113667925199,1.82749641916779e-05,7,0.120600252433822
"CUB",0,0,7,0.119243625607352
"CYP",0,0,7,0.119243625607352
"CZE",0,0,7,0.119243625607352
"DEU",0.00253090325334632,3.15311670733982e-05,7,0.121848993513435
"DJI",0,0,7,0.119243625607352
"DMA",0.00213414350836987,2.49335708545752e-05,7,0.121366291508126
"DNK",0.00144211343218763,1.08735155677028e-05,7,0.120509320143609
"DOM",0,0,7,0.119243625607352
"DZA",0,0,7,0.119243625607352
"ECU",0.000355423371697226,4.50665270672652e-06,7,0.119642342048869
"EGY",0.00169219630004523,2.06114450009114e-05,7,0.120983778821393
"ERI",0,0,7,0.119243625607352
"ESP",0.00335394444635556,5.56425194578671e-05,7,0.123158001477467
"EST",0.000639615342045736,8.70130873593016e-06,7,0.119899275153305
"ETH",0,0,7,0.119243625607352
"FIN",0.00311393195981749,3.84920935668668e-05,7,0.12246138526366
"FJI",0.620347240446415,0.021720703254654,5,1.16407692899478
"FRA",0.00131547099835006,2.55470370272565e-05,7,0.120767799818355
"FSM",-2.85811860422203,-15.2051897299692,7,-2.54967967659317
"GAB",2.13191667415202e-05,2.51820073896405e-07,7,0.119264074306022
"GBR",0.00177282156618277,2.55652922448884e-05,7,0.121117278236457
"GEO",0,0,7,0.119243625607352
"GHA",8.6696732364481e-05,1.66869373056953e-06,7,0.119340994421628
"GIN",3.28049769381991e-05,2.9350087650092e-07,7,0.119275323548971
"GMB",-0.000395052629297083,-0.00145321058750498,7,0.117831061071483
"GNB",0,0,7,0.119243625607352
"GNQ",0,0,7,0.119243625607352
"GRC",0.00138020367779588,1.72345905510558e-05,7,0.120694696930848
"GRD",0.00109971842846775,1.30405031769506e-05,7,0.120335872887679
"GTM",0.000104623080345576,1.52954782677199e-06,7,0.119361665930555
"GUY",0.000967365753116823,8.63570765709457e-06,7,0.120158606539009
"HND",8.88836022094493e-05,1.09772474758997e-06,7,0.119334571373036
"HRV",0.0022179182513778,2.6126941004714e-05,7,0.121542350052016
"HTI",0,0,7,0.119243625607352
"HUN",0,0,7,0.119243625607352
"IDN",-5.85652418938235e-05,-0.000282784282305462,7,0.119082101661132
"IND",-5.00213211985511e-06,-1.9559846283384e-05,7,0.11922309331187
"IRL",0.000965763562807794,4.7016866283416e-06,7,0.120052496151083
"IRN",0.000175658963794218,1.73015110432953e-06,7,0.119415210186547
"IRQ",0,0,7,0.119243625607352
"ISL",-0.00614032747425956,-0.0238738124333563,7,0.10935540321242
"ISR",0,0,7,0.119243625607352
"ITA",0.00232474879177211,3.32370488358163e-05,7,0.121944610152175
"JAM",0,0,7,0.119243625607352
"JOR",0,0,7,0.119243625607352
"JPN",0.00327235322201685,0.000101935263923335,7,0.124049526128692
"KAZ",0,0,7,0.119243625607352
"KEN",3.73265812182826e-05,4.04672961495923e-07,7,0.119282678342394
"KGZ",0,0,7,0.119243625607352
"KHM",3.49002260827294e-05,1.26659140932995e-06,7,0.119296650379448
"KIR",-2.88313153904248,-15.1908343679762,7,-2.3917515608167
"KNA",0,0,7,0.119243625607352
"KOR",2.56387766538982e-05,-0.000204219723732012,7,0.119578200603437
"KWT",0,0,7,0.119243625607352
"LAO",0,0,7,0.119243625607352
"LBN",0,0,7,0.119243625607352
"LBR",1.94051477292534e-05,3.07729091979027e-07,7,0.119264633882051
"LBY",0.0147464805041634,0.000180484070320169,7,0.134429283672658
"LCA",0,0,7,0.119243625607352
"LKA",0.00027580901928633,1.18776143713478e-05,7,0.119728543808523
"LSO",0,0,7,0.119243625607352
"LTU",0.000645047152958967,1.00113177511777e-05,7,0.119958962803842
"LVA",0.000444246956511728,-6.10425629088377e-06,7,0.11954518281976
"MAR",-0.000100195435796713,-0.000450765006625518,7,0.119006054405773
"MDA",0,0,7,0.119243625607352
"MDG",7.08164074654235e-06,1.536931742523e-07,7,0.119255923499394
"MDV",-0.0104823550374909,-0.0546744231702782,7,0.10852911591725
"MEX",0.000272503203082443,5.98166573179088e-07,7,0.119497907383888
"MHL",-10.8707613070819,-56.6884327669423,7,-10.9405965552538
"MKD",0,0,7,0.119243625607352
"MLI",0,0,7,0.119243625607352
"MLT",0.00624823697261873,7.63461940474418e-05,7,0.125737612265055
"MMR",-3.03545888072009e-05,-0.000108054397111105,7,0.119166163454521
"MNE",0,0,7,0.119243625607352
"MNG",0,0,7,0.119243625607352
"MOZ",5.29531560168827e-05,1.40888738498738e-06,7,0.119315821147519
"MRT",-0.00043041824452336,-0.001964401166998,7,0.118228349220608
"MUS",0.00180411247921168,6.56434551137897e-05,7,0.121905625614394
"MWI",0,0,7,0.119243625607352
"MYS",0.000375992695096724,2.43198290164849e-06,7,0.119591882991992
"NAM",-0.00117690513804137,-0.00578664847176336,7,0.117548062654756
"NER",0,0,7,0.119243625607352
"NGA",1.67462191986214e-05,2.27797439550203e-07,7,0.119261388078222
"NIC",0.000133950205637982,1.72796304526105e-06,7,0.119383401542542
"NLD",0.00262350517271187,5.02511006911537e-05,7,0.122225160331864
"NOR",-0.00135537394568856,-0.00452375530794293,7,0.116951063498914
"NPL",0,0,7,0.119243625607352
"NRU",-5.3353535644403,-28.1119183680961,7,-4.84225860797763
"NZL",-0.0105813133490748,-0.0496625070908964,7,0.100054825589057
"OMN",-7.78217837508962e-05,-0.00158016812948359,7,0.0996020054879702
"PAK",-3.59120507887196e-05,-0.000150580586547129,7,0.118999509712406
"PAN",0.00153873583424652,1.12010518573576e-05,7,0.120702083747567
"PER",0.000775924960690348,6.82238647391506e-06,7,0.119979818178441
"PHL",0.00216716669415765,2.22127063760875e-05,7,0.121570213402524
"PLW",0.0991587229660916,0.00668039643547399,7,0.378324202624134
"PNG",0.0447676832721806,0.00094558592225186,7,0.184355001954443
"POL",0.000591739857004086,7.50457841108788e-06,7,0.119860331880512
"PRK",-1.10452092285228e-06,-3.05084960048636e-06,7,0.119240673704161
"PRT",0.00134531774694839,2.39329194193946e-05,7,0.120793584573735
"PRY",0,0,7,0.119243625607352
"PSE",0,0,7,0.119243625607352
"QAT",0,0,7,0.119243625607352
"ROU",0,0,7,0.119243625607352
"RUS",-3.71136003511437e-05,-0.00010304108701738,7,0.119092527626137
"RWA",0,0,7,0.119243625607352
"SAU",0.00294509004985621,3.68000494304022e-05,7,0.122298249203398
"SDN",0,0,7,0.119243625607352
"SEN",-6.71969262785125e-05,-0.000318798338933758,7,0.119129342709387
"SGP",0.00141075606981445,4.44090510602701e-05,7,0.121262930026795
"SLB",-0.131267157443205,-0.817664498965908,7,0.111331764431731
"SLE",6.6674058217008e-07,-5.10108646890174e-08,7,0.119244015775718
"SLV",0.000162103793326324,2.80063087716971e-06,7,0.119476719443933
"SOM",0.000718931681075714,8.40061927326967e-06,7,0.11997340541937
"SRB",0,0,7,0.119243625607352
"SSD",0,0,7,0.119243625607352
"STP",0,0,7,0.119243625607352
"SUR",-9.18919700914872e-05,-0.000246413919564947,7,0.118865411208738
"SVK",0,0,7,0.119243625607352
"SVN",0,0,7,0.119243625607352
"SWE",0.00163233263474152,2.02680672396747e-05,7,0.120933129233172
"SWZ",0,0,7,0.119243625607352
"SYC",-0.00463837270683705,-0.0312954715630915,7,0.120484657347976
