"Country","average_fulfillment_ratio","min_fulfillment_ratio","nutrient_deficiency_count","rni_avg_zscore"
"AFG",0,0,7,0.0933216767749703
"AGO",0.174790509931596,0.00711113902463617,6,0.170550716612881
"ALB",0.0634532888212005,0.00219215734478605,7,0.129796463739856
"ARE",0.127324699370456,0.00784365615085408,6,0.169125121358301
"ARG",-0.0710694183594464,-0.192006475592923,7,0.0264120793376151
"ARM",0.0116048615446754,0.000215034069416941,7,0.0972957143575486
"ATG",0.754817022558496,0.0175891939964072,6,0.463258907268169
"AUS",0.157075657927999,0.00602796561335612,6,0.164358418975162
"AUT",0,0,7,0.0933216767749703
"AZE",0,0,7,0.0933216767749703
"BDI",0,0,7,0.0933216767749703
"BEL",0.233669558038589,0.0144614923717338,6,0.200673970733183
"BEN",0.100823220636563,0.00701227808657314,7,0.13858791080203
"BFA",0,0,7,0.0933216767749703
"BGD",0.0313840211563357,0.00167520397473821,7,0.114738321180277
"BGR",0.0618188372831428,-0.00117663740391411,7,0.111322958809951
"BHR",0.0387757746403522,-0.00108704323298679,7,0.133780966848369
"BHS",0.411981032634223,0.00736252355026186,6,0.288252017736004
"BIH",0.0415251234787853,0.00350269780082481,7,0.114268479862077
"BLR",0.163421575271727,0.00927360061557228,6,0.156875266617975
"BLZ",0.784681287904991,0.0162101206884246,5,0.325517549988204
"BOL",0,0,7,0.0933216767749703
"BRA",0.0418701742410749,0.00251337911308501,7,0.115625462468067
"BRB",0.207481204870523,0.00887394440831221,6,0.197942325314523
"BRN",0.301243997117789,0.0182308874945604,6,0.26072039531206
"BTN",0,0,7,0.0933216767749703
"BWA",0,0,7,0.0933216767749703
"CAF",0,0,7,0.0933216767749703
"CAN",-0.045873768804206,-0.252441888077805,7,0.0672116111169463
"CHE",0,0,7,0.0933216767749703
"CHL",0.0708878825393729,-0.00565411304073913,7,0.112067383863022
"CHN",0.0579310572260639,0.00472634448526682,7,0.126667195646667
"CIV",0.247078675733097,0.0107009443678548,6,0.191924191394722
"CMR",0.182039720724505,0.0113933863318372,6,0.173433612776574
"COD",0.0243321755863943,0.000731140915665707,7,0.102301621294601
"COG",0.220543166443998,0.0128957249354861,6,0.186336624215648
"COL",0.0304536081206042,0.00187895954536974,7,0.107363654113649
"COM",0.554466151864914,0.0182781365275316,5,0.320403092825633
"CPV",-0.0953478113453698,-0.515433928943237,7,0.0585413343263525
"CRI",0.0483898885404966,0.00223634836005572,7,0.113902999116342
"CUB",0.0374273330908939,0.0018243179553629,7,0.11292155816818
"CYP",0.177675807178201,0.00943971272602649,6,0.17195859325716
"CZE",0,0,7,0.0933216767749703
"DEU",0.108073688502753,0.0065016969091471,7,0.138425609584225
"DJI",0.0270082899196721,0.00143783592299551,7,0.110119037756858
"DMA",0.27552472107655,0.0136390141451429,6,0.205079999464887
"DNK",-1.41519222821399,-6.64345272026779,7,-0.419542801465991
"DOM",0.113795907341655,0.00525480210641969,6,0.14295159390675
"DZA",0.0639312258911793,0.00217834515174489,7,0.118847359274262
"ECU",-0.281959599587648,-1.37547678669597,7,-0.00303196704107122
"EGY",0.0739060730850735,0.00381207568417878,7,0.124433252782277
"ERI",0.0103506288349915,0.000542367967734065,7,0.100833407273063
"ESP",0.246489320328169,0.013265021201765,6,0.212465697164695
"EST",-0.757339731081771,-3.4320270869175,7,-0.211943276065795
"ETH",0,0,7,0.0933216767749703
"FIN",0.355323604275037,0.0100760592830058,6,0.199732302085777
"FJI",0.620347240446415,0.021720703254654,5,0.29994879923302
"FRA",0.172930397588183,0.0105769268067529,6,0.173226140104047
"FSM",-2.85811860422203,-15.2051897299692,7,-0.799547234346957
"GAB",0.272347225438358,0.0171682404420872,6,0.210347112427083
"GBR",0.0424755284362,0.000474118792164857,7,0.108330453994651
"GEO",0.287072102501175,0.0116130972208268,5,0.21696716244371
"GHA",0.199543469340773,0.00842266528546661,6,0.17309019791558
"GIN",0.174441149367177,0.0064447990658431,6,0.160532252728586
"GMB",0.229649681169545,0.00890127048412636,6,0.189506209264253
"GNB",-0.0391108051518263,-0.163158529877705,7,0.0764392052691069
"GNQ",0.131813961661828,0.0099487937539797,6,0.153376332235474
"GRC",0.10320664971602,0.00598971433313032,7,0.140404876624646
"GRD",0.26099503606304,0.0133316185378973,6,0.205542209499494
"GTM",0.0048374927868653,0.000403947096673562,7,0.0960757010653352
"GUY",-0.170015150607791,-0.592943014439408,7,-0.0479751606981132
"HND",0.00656163742725761,-0.000663103492156168,7,0.0951578839263657
"HRV",0.0918920485464772,0.00318455080905731,7,0.123769475962025
"HTI",0.0592541045562756,0.00276218227966875,7,0.115190952154155
"HUN",0,0,7,0.0933216767749703
"IDN",0.152118191121302,0.0109135219742372,6,0.200804587803347
