"Country","average_fulfillment_ratio","min_fulfillment_ratio","nutrient_deficiency_count"
"FJI",0.085882582453036,0.00533313887091633,7
"FSM",0.96668411141188,0.0215404944603521,4
"KIR",1.41591513760261,0.0394788611570768,4
"MHL",0.761776488706896,0.00920411802916104,4
"NRU",0.449132562751635,0.008826305804796,6
"PLW",0.179474297492024,0.0138439230299426,6
"PNG",0.158248266309954,0.00198899727516912,6
"SLB",0.135332222850223,0.00464201857367988,6
"TON",0.0853618060209011,0.00639867868882572,7
"TUV",1.06836235283325,0.0227720738103785,4
"VUT",0.986345382126781,0.0165420733035999,4
"WSM",0.200676139042055,0.0142381216598334,6
