"Country","category","net_flow_pc","rec_intake_adults","unit","rni_ratio","rni_ratio_zscore"
"AFG","protein",0,50,"g",0,0.138219769706077
"AFG","fattyacids",0,1.4,"g",0,0.124283556262553
"AFG","calcium",0,1300,"mg",0,0.0341419524690986
"AFG","zinc",0,11,"mg",0,0.134940438863953
"AFG","iron",0,18,"mg",0,0.141138920044454
"AFG","vita",0,900,"mcg",0,0.125349086272819
"AFG","vitaminb12",0,2.4,"mcg",0,0.13663165563251
"AGO","protein",0.0147592438770933,50,"g",0.000295184877541866,0.138648946799748
"AGO","fattyacids",0.000442229661071836,1.4,"g",0.000315878329337026,0.124709079985709
"AGO","calcium",0.00458621189548301,1300,"mg",3.5278553042177e-06,0.034442607249292
"AGO","zinc",0.000544167566149323,11,"mg",4.94697787408476e-05,0.135358416780941
"AGO","iron",0.00119641471887646,18,"mg",6.64674843820255e-05,0.141556177940097
"AGO","vita",0.00956796253702598,900,"mcg",1.06310694855844e-05,0.125803119830241
"AGO","vitaminb12",0.00513401372859099,2.4,"mcg",0.00213917238691291,0.137048769944593
"ALB","protein",0,50,"g",0,0.138219769706077
"ALB","fattyacids",0,1.4,"g",0,0.124283556262553
"ALB","calcium",0,1300,"mg",0,0.0341419524690986
"ALB","zinc",0,11,"mg",0,0.134940438863953
"ALB","iron",0,18,"mg",0,0.141138920044454
"ALB","vita",0,900,"mcg",0,0.125349086272819
"ALB","vitaminb12",0,2.4,"mcg",0,0.13663165563251
"ARE","protein",0.124442719968918,50,"g",0.00248885439937836,0.14183838088491
"ARE","fattyacids",0.00391695742294171,1.4,"g",0.00279782673067265,0.12805254430829
"ARE","calcium",0.0546683491450193,1300,"mg",4.20525762653995e-05,0.0377258035580379
"ARE","zinc",0.00475802101392708,11,"mg",0.000432547364902462,0.138595099369465
"ARE","iron",0.0103047456620331,18,"mg",0.000572485870112948,0.144732771258617
"ARE","vita",0.0804387324248503,900,"mcg",8.93763693609448e-05,0.129166187739932
"ARE","vitaminb12",0.0444511780096868,2.4,"mcg",0.0185213241707028,0.140243103423067
"ARG","protein",0.0189936203307131,50,"g",0.000379872406614263,0.13877207623612
"ARG","fattyacids",0.000604903836940361,1.4,"g",0.000432074169243115,0.124865608882502
"ARG","calcium",0.00837719275796366,1300,"mg",6.44399442920281e-06,0.034691129677802
"ARG","zinc",0.000726475209904776,11,"mg",6.60432009004342e-05,0.135498448223328
"ARG","iron",0.00160459395039813,18,"mg",8.91441083554516e-05,0.141698533265975
"ARG","vita",0.0104774649890614,900,"mcg",1.16416277656238e-05,0.125846278928344
"ARG","vitaminb12",0.00693843587317927,2.4,"mcg",0.00289101494715803,0.137195370702078
"ARM","protein",0,50,"g",0,0.138219769706077
"ARM","fattyacids",0,1.4,"g",0,0.124283556262553
"ARM","calcium",0,1300,"mg",0,0.0341419524690986
"ARM","zinc",0,11,"mg",0,0.134940438863953
"ARM","iron",0,18,"mg",0,0.141138920044454
"ARM","vita",0,900,"mcg",0,0.125349086272819
"ARM","vitaminb12",0,2.4,"mcg",0,0.13663165563251
"ATG","protein",0,50,"g",0,0.138219769706077
"ATG","fattyacids",0,1.4,"g",0,0.124283556262553
"ATG","calcium",0,1300,"mg",0,0.0341419524690986
"ATG","zinc",0,11,"mg",0,0.134940438863953
"ATG","iron",0,18,"mg",0,0.141138920044454
"ATG","vita",0,900,"mcg",0,0.125349086272819
"ATG","vitaminb12",0,2.4,"mcg",0,0.13663165563251
"AUS","protein",0.213709963325712,50,"g",0.00427419926651424,0.14443414096469
"AUS","fattyacids",0.00677415064994989,1.4,"g",0.00483867903567849,0.130801802457966
"AUS","calcium",0.0484914446921862,1300,"mg",3.73011113016817e-05,0.0373208689643329
"AUS","zinc",0.00827127254567916,11,"mg",0.000751933867789014,0.141293646009222
"AUS","iron",0.0176246115040812,18,"mg",0.000979145083560066,0.147285625021993
"AUS","vita",0.132195497763063,900,"mcg",0.000146883886403403,0.131622228740952
"AUS","vitaminb12",0.076375088995768,2.4,"mcg",0.0318229537482367,0.14283677006946
"AUT","protein",0,50,"g",0,0.138219769706077
"AUT","fattyacids",0,1.4,"g",0,0.124283556262553
"AUT","calcium",0,1300,"mg",0,0.0341419524690986
"AUT","zinc",0,11,"mg",0,0.134940438863953
"AUT","iron",0,18,"mg",0,0.141138920044454
