"Country","category","net_flow_pc","rec_intake_adults","unit","rni_ratio","rni_ratio_zscore"
"AFG","protein",0,50,"g",0,0.116335871212143
"AFG","fattyacids",0,1.4,"g",0,0.0831546617109721
"AFG","calcium",0,1300,"mg",0,0.00940815136981276
"AFG","zinc",0,11,"mg",0,0.0972165504965322
"AFG","iron",0,18,"mg",0,0.139339492588564
"AFG","vitamina",0,900,"mcg",0,0.085645499668242
"AFG","vitaminb12",0,2.4,"mcg",0,0.122151510378527
"AGO","protein",6.16828690151835,50,"g",0.123365738030367,0.179967884691683
"AGO","fattyacids",0.347642049241148,1.4,"g",0.248315749457963,0.154617500971344
"AGO","calcium",23.2142491831455,1300,"mg",0.0178571147562658,0.147421122993814
"AGO","zinc",0.283823426368697,11,"mg",0.0258021296698816,0.17205045261318
"AGO","iron",0.353010674029453,18,"mg",0.0196117041127474,0.215945098028171
"AGO","vitamina",6.40002512217256,900,"mcg",0.00711113902463617,0.134331934389353
"AGO","vitaminb12",1.87552798672635,2.4,"mcg",0.781469994469312,0.189521022602624
"ALB","protein",2.63069446408529,50,"g",0.0526138892817058,0.143474100719272
"ALB","fattyacids",0.218016849834501,1.4,"g",0.155726321310358,0.12797117090422
"ALB","calcium",7.2307125821495,1300,"mg",0.00556208660165346,0.0523960646358618
"ALB","zinc",0.20905072163867,11,"mg",0.0190046110580609,0.152335613220412
"ALB","iron",0.246112048425,18,"mg",0.0136728915791666,0.192747403064398
"ALB","vitamina",1.97294161030745,900,"mcg",0.00219215734478605,0.100654111522908
"ALB","vitaminb12",0.468962554974413,2.4,"mcg",0.195401064572672,0.138996782111922
"ARE","protein",6.10656157254054,50,"g",0.122131231450811,0.179331126540148
"ARE","fattyacids",0.241538549772846,1.4,"g",0.172527535552033,0.132806395715183
"ARE","calcium",27.3591060361461,1300,"mg",0.0210454661816509,0.172063057640318
"ARE","zinc",0.276591570025833,11,"mg",0.0251446881841666,0.170143675443277
"ARE","iron",0.386011907017595,18,"mg",0.0214451059454219,0.223106579590338
"ARE","vitamina",7.05929053576868,900,"mcg",0.00784365615085408,0.139347115097275
"ARE","vitaminb12",1.25072450910782,2.4,"mcg",0.521135212128257,0.167077899481571
"ARG","protein",-7.65056970487569,50,"g",-0.153011394097514,0.0374126365508339
"ARG","fattyacids",-0.110053773987063,1.4,"g",-0.0786098385621878,0.0605315205299717
"ARG","calcium",-14.2506808464091,1300,"mg",-0.0109620621895455,-0.0753147615170758
"ARG","zinc",-0.31007868249253,11,"mg",-0.0281889711356846,0.0154600934239518
"ARG","iron",-0.329552938029592,18,"mg",-0.0183084965571996,0.0678243679777657
"ARG","vitamina",-14.7588213429638,900,"mcg",-0.0163986903810709,-0.0266281833498687
"ARG","vitaminb12",-0.460815541423015,2.4,"mcg",-0.192006475592923,0.105598881747727
"ARM","protein",0.228598948392398,50,"g",0.00457197896784796,0.118694096696423
"ARM","fattyacids",0.0337319929376565,1.4,"g",0.0240942806697546,0.0900887595696681
"ARM","calcium",0.638044115787843,1300,"mg",0.000490803165990648,0.0132014407306861
"ARM","zinc",0.00236537476358635,11,"mg",0.000215034069416941,0.0978402136866787
"ARM","iron",0.0133585088038195,18,"mg",0.000742139377989969,0.142238375625176
"ARM","vitamina",0.905703143814196,900,"mcg",0.00100633682646022,0.0925353877774696
"ARM","vitaminb12",0.120272298564641,2.4,"mcg",0.0501134577352672,0.126471726416739
"ATG","protein",22.861849615407,50,"g",0.45723699230814,0.352178585100289
"ATG","fattyacids",0.517279353727524,1.4,"g",0.369485252662517,0.18948889656211
"ATG","calcium",166.371598396833,1300,"mg",0.127978152612949,0.998517836004922
"ATG","zinc",2.43505737042016,11,"mg",0.221368851856378,0.739252506576235
"ATG","iron",0.674850091271098,18,"mg",0.0374916717372832,0.285786338607965
"ATG","vitamina",15.8302745967664,900,"mcg",0.0175891939964072,0.206069969269558
"ATG","vitaminb12",9.72616570256591,2.4,"mcg",4.0525690427358,0.471518218756103
"AUS","protein",6.43933769028348,50,"g",0.12878675380567,0.182764043125898
"AUS","fattyacids",0.267232834668369,1.4,"g",0.190880596191692,0.13808822671177
"AUS","calcium",18.9499706564395,1300,"mg",0.0145769005049535,0.122069204581118
"AUS","zinc",0.285287851047503,11,"mg",0.0259352591861366,0.172436568074025
"AUS","iron",0.393583507791741,18,"mg",0.0218657504328745,0.224749666058035
"AUS","vitamina",5.42516905202051,900,"mcg",0.00602796561335612,0.126915984371047
"AUS","vitaminb12",1.70749531142715,2.4,"mcg",0.711456379761314,0.18348523990424
