"Country","category","net_flow_pc","rec_intake_adults","unit","rni_ratio"
"FJI","protein",4.76283723400547,50,"g",0.0952567446801093
"FJI","fattyacids",0.12553575693262,1.4,"g",0.089668397809014
"FJI","calcium",22.949463203551,1300,"mg",0.0176534332335008
"FJI","zinc",0.163570551340051,11,"mg",0.0148700501218228
"FJI","iron",0.34129325345002,18,"mg",0.0189607363027789
"FJI","vita",4.7998249838247,900,"mcg",0.00533313887091633
"FJI","vitaminb12",0.862645382767464,2.4,"mcg",0.35943557615311
"FSM","protein",47.4349255689467,50,"g",0.948698511378934
"FSM","fattyacids",1.08225754991741,1.4,"g",0.773041107083864
"FSM","calcium",28.0026427984577,1300,"mg",0.0215404944603521
"FSM","zinc",1.50537579932682,11,"mg",0.136852345393347
"FSM","iron",2.8511924084307,18,"mg",0.15839957824615
"FSM","vita",30.8542337963701,900,"mcg",0.0342824819959668
"FSM","vitaminb12",11.2655382271789,2.4,"mcg",4.69397426132455
"KIR","protein",54.5785486477688,50,"g",1.09157097295538
"KIR","fattyacids",1.57064106174753,1.4,"g",1.1218864726768
"KIR","calcium",72.4492021817592,1300,"mg",0.0557301555244302
"KIR","zinc",1.98731231559915,11,"mg",0.180664755963559
"KIR","iron",4.30462888490961,18,"mg",0.239146049161645
"KIR","vita",35.5309750413691,900,"mcg",0.0394788611570768
"KIR","vitaminb12",17.2390288698706,2.4,"mcg",7.1829286957794
"MHL","protein",31.2739722116179,50,"g",0.625479444232357
"MHL","fattyacids",0.765383309564184,1.4,"g",0.546702363974417
"MHL","calcium",11.9653534379094,1300,"mg",0.00920411802916104
"MHL","zinc",1.02177046128183,11,"mg",0.0928882237528935
"MHL","iron",2.29121911718418,18,"mg",0.127289950954677
"MHL","vita",17.3339323392503,900,"mcg",0.0192599248213892
"MHL","vitaminb12",9.3878673484401,2.4,"mcg",3.91161139518338
"NRU","protein",20.4087614556565,50,"g",0.408175229113129
"NRU","fattyacids",0.502297130605412,1.4,"g",0.358783664718152
"NRU","calcium",11.4741975462348,1300,"mg",0.008826305804796
"NRU","zinc",0.67485986247568,11,"mg",0.0613508965886982
"NRU","iron",1.29008780176995,18,"mg",0.0716715445427751
"NRU","vita",14.0537351919035,900,"mcg",0.0156152613243372
"NRU","vitaminb12",5.32681208920695,2.4,"mcg",2.21950503716956
"PLW","protein",14.3083269882857,50,"g",0.286166539765714
"PLW","fattyacids",0.244682086288166,1.4,"g",0.174772918777262
"PLW","calcium",20.3025277617289,1300,"mg",0.0156173290474837
"PLW","zinc",0.419595923375697,11,"mg",0.0381450839432452
"PLW","iron",0.620515852648749,18,"mg",0.0344731029249305
"PLW","vita",12.4595307269484,900,"mcg",0.0138439230299426
"PLW","vitaminb12",1.66392284389342,2.4,"mcg",0.69330118495559
"PNG","protein",7.08852053068242,50,"g",0.141770410613648
"PNG","fattyacids",0.156179416573053,1.4,"g",0.111556726123609
"PNG","calcium",2.58569645771986,1300,"mg",0.00198899727516912
"PNG","zinc",0.230336792650328,11,"mg",0.0209397084227571
"PNG","iron",0.473317540594987,18,"mg",0.0262954189219437
"PNG","vita",4.6945211792951,900,"mcg",0.00521613464366123
"PNG","vitaminb12",1.91992912360533,2.4,"mcg",0.799970468168888
"SLB","protein",11.5005151860602,50,"g",0.230010303721204
"SLB","fattyacids",0.176298713195803,1.4,"g",0.125927652282717
"SLB","calcium",6.03462414578384,1300,"mg",0.00464201857367988
"SLB","zinc",0.290287124791825,11,"mg",0.0263897386174386
"SLB","iron",0.447369144416095,18,"mg",0.0248538413564497
"SLB","vita",9.01850367212946,900,"mcg",0.0100205596356994
"SLB","vitaminb12",1.2611554698345,2.4,"mcg",0.525481445764375
"TON","protein",6.46238696814845,50,"g",0.129247739362969
"TON","fattyacids",0.124680055562021,1.4,"g",0.0890571825443007
"TON","calcium",32.652938883654,1300,"mg",0.0251176452951185
"TON","zinc",0.192517744188184,11,"mg",0.0175016131080168
"TON","iron",0.289614432899977,18,"mg",0.0160896907166654
"TON","vita",5.75881081994314,900,"mcg",0.00639867868882572
"TON","vitaminb12",0.753888221832988,2.4,"mcg",0.314120092430412
"TUV","protein",46.9207161623467,50,"g",0.938414323246934
"TUV","fattyacids",1.22402703285464,1.4,"g",0.874305023467603
"TUV","calcium",29.603695953492,1300,"mg",0.0227720738103785
"TUV","zinc",1.61073661605424,11,"mg",0.146430601459476
"TUV","iron",3.0688983588793,18,"mg",0.170494353271072
"TUV","vita",32.3902167682257,900,"mcg",0.035989129742473
"TUV","vitaminb12",12.6963143156035,2.4,"mcg",5.29013096483478
"VUT","protein",33.6097957867372,50,"g",0.672195915734744
"VUT","fattyacids",1.86790112429681,1.4,"g",1.33421508878344
"VUT","calcium",53.7103241097408,1300,"mg",0.0413156339305698
"VUT","zinc",1.21243662175173,11,"mg",0.11022151106834
"VUT","iron",1.96485017639414,18,"mg",0.109158343133008
"VUT","vita",14.8878659732399,900,"mcg",0.0165420733035999
"VUT","vitaminb12",11.089845861441,2.4,"mcg",4.62076910893377
"WSM","protein",15.5864974792598,50,"g",0.311729949585196
"WSM","fattyacids",0.332339427372459,1.4,"g",0.237385305266042
"WSM","calcium",26.0029185883438,1300,"mg",0.0200022450679568
"WSM","zinc",0.62062582174599,11,"mg",0.0564205292496354
"WSM","iron",0.635184347214513,18,"mg",0.0352880192896952
"WSM","vita",12.8143094938501,900,"mcg",0.0142381216598334
"WSM","vitaminb12",1.75120512762246,2.4,"mcg",0.729668803176023
