"Country","Pop_avg","Source","category","net_flow_value","net_flow_value_daily","rec_intake_adults","unit","net_flow_rnis_total","rni_perc_pop_total","net_flow_rnis_daily","rni_perc_pop_daily"
"AFG",33694603.4117647,"Net","protein",0,0,50,"g",0,0,0,0
"AFG",33694603.4117647,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"AFG",33694603.4117647,"Net","calcium",0,0,1300,"mg",0,0,0,0
"AFG",33694603.4117647,"Net","zinc",0,0,11,"mg",0,0,0,0
"AFG",33694603.4117647,"Net","iron",0,0,18,"mg",0,0,0,0
"AFG",33694603.4117647,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"AFG",33694603.4117647,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"AGO",28383498.3529412,"Net","protein",2141932715.47388,418918.974276135,50,"g",42838654.3094775,1.50928027887156,8378.3794855227,0.000295184877541866
"AGO",28383498.3529412,"Net","fattyacids",64178503.0920729,12552.0248566542,1.4,"g",45841787.9229092,1.61508589790021,8965.73204046729,0.000315878329337026
"AGO",28383498.3529412,"Net","calcium",665573208.277737,130172.737781681,1300,"mg",511979.390982875,0.0180379241704651,100.132875216678,3.5278553042177e-06
"AGO",28383498.3529412,"Net","zinc",78972223.9391968,15445.3792175233,11,"mg",7179293.08538153,0.252938978701954,1404.12538341121,4.94697787408476e-05
"AGO",28383498.3529412,"Net","iron",173629479.191224,33958.4352026646,18,"mg",9646082.17729022,0.339848247645297,1886.57973348137,6.64674843820256e-05
"AGO",28383498.3529412,"Net","vitamina",1388548908.68031,271572.24891068,900,"mcg",1542832.12075589,0.0543566582797931,301.746943234089,1.06310694855844e-05
"AGO",28383498.3529412,"Net","vitaminb12",745072854.580866,145721.27020944,2.4,"mcg",310447022.742027,10.9375884142857,60717.1959205999,0.00213917238691291
"ALB",2874803.94117647,"Net","protein",0,0,50,"g",0,0,0,0
"ALB",2874803.94117647,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"ALB",2874803.94117647,"Net","calcium",0,0,1300,"mg",0,0,0,0
"ALB",2874803.94117647,"Net","zinc",0,0,11,"mg",0,0,0,0
"ALB",2874803.94117647,"Net","iron",0,0,18,"mg",0,0,0,0
"ALB",2874803.94117647,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"ALB",2874803.94117647,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"ARE",8653259.64705882,"Net","protein",5505858209.26614,1076835.16707728,50,"g",110117164.185323,12.7255125440216,21536.7033415456,0.00248885439937836
"ARE",8653259.64705882,"Net","fattyacids",173302320.841557,33894.449607189,1.4,"g",123787372.029684,14.3052880739293,24210.3211479922,0.00279782673067265
"ARE",8653259.64705882,"Net","calcium",2418752812.55755,473059.419627918,1300,"mg",1860579.08658273,0.215014822444987,363.891861252245,4.20525762653995e-05
"ARE",8653259.64705882,"Net","zinc",210514436.408448,41172.3912396731,11,"mg",19137676.0371317,2.21161467674629,3742.9446581521,0.000432547364902462
"ARE",8653259.64705882,"Net","iron",455924368.35096,89169.6398104752,18,"mg",25329131.5750533,2.9271202538875,4953.86887835973,0.000572485870112948
"ARE",8653259.64705882,"Net","vitamina",3558940654.58343,696057.23735252,900,"mcg",3954378.5050927,0.456981376542511,773.396930391688,8.93763693609448e-05
"ARE",8653259.64705882,"Net","vitaminb12",1966703101.77496,384647.584935451,2.4,"mcg",819459625.739567,94.6995304848035,160269.827056438,0.0185213241707028
"ARG",43162655.7058824,"Net","protein",4191714580.44263,819815.094942819,50,"g",83834291.6088526,1.94228761501873,16396.3018988564,0.000379872406614263
"ARG",43162655.7058824,"Net","fattyacids",133496626.17866,26109.256049024,1.4,"g",95354732.984757,2.20919522734005,18649.4686064457,0.000432074169243115
"ARG",43162655.7058824,"Net","calcium",1848768187.17668,361581.886793796,1300,"mg",1422129.37475129,0.032948143516514,278.139912918305,6.44399442920282e-06
