"Country","Pop_avg","Source","category","net_flow_value","net_flow_value_daily","rec_intake_adults","unit","net_flow_rnis_total","rni_perc_pop_total","net_flow_rnis_daily","rni_perc_pop_daily"
"AFG",33694603.4117647,"Net","protein",0,0,50,"g",0,0,0,0
"AFG",33694603.4117647,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"AFG",33694603.4117647,"Net","calcium",0,0,1300,"mg",0,0,0,0
"AFG",33694603.4117647,"Net","zinc",0,0,11,"mg",0,0,0,0
"AFG",33694603.4117647,"Net","iron",0,0,18,"mg",0,0,0,0
"AFG",33694603.4117647,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"AFG",33694603.4117647,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"AGO",28383498.3529412,"Net","protein",895171569953.972,175077561.109715,50,"g",17903431399.0794,630.769018549267,3501551.2221943,0.123365738030367
"AGO",28383498.3529412,"Net","fattyacids",50451492281.3677,9867297.53204923,1.4,"g",36036780200.9769,1269.63842697857,7048069.66574945,0.248315749457963
"AGO",28383498.3529412,"Net","calcium",3368963898463.26,658901603.454578,1300,"mg",2591510691.12558,91.3034277487871,506847.387272752,0.0178571147562658
"AGO",28383498.3529412,"Net","zinc",41189825672.6096,8055901.75486204,11,"mg",3744529606.60087,131.926289002104,732354.704987458,0.0258021296698816
"AGO",28383498.3529412,"Net","iron",51230613025.4203,10019677.8848856,18,"mg",2846145168.07891,100.274643128477,556648.771382536,0.0196117041127474
"AGO",28383498.3529412,"Net","vitamina",928802539153.913,181655102.513967,900,"mcg",1032002821.28213,36.3592538329648,201839.002793297,0.00711113902463617
"AGO",28383498.3529412,"Net","vitaminb12",272185674754.714,53234045.5221424,2.4,"mcg",113410697814.464,3995.65608172159,22180852.3008927,0.781469994469312
"ALB",2874803.94117647,"Net","protein",38668242648.8299,7562730.81338351,50,"g",773364852.976597,269.014815897361,151254.61626767,0.0526138892817058
"ALB",2874803.94117647,"Net","fattyacids",3204601889.73914,626755.699147103,1.4,"g",2289001349.81367,796.228680859861,447682.642247931,0.155726321310358
"ALB",2874803.94117647,"Net","calcium",106283322699.629,20786881.0286777,1300,"mg",81756402.0766377,28.4389487942542,15989.9084835982,0.00556208660165346
"ALB",2874803.94117647,"Net","zinc",3072809914.11058,600979.838472634,11,"mg",279346355.828234,97.1705763398654,54634.5307702394,0.0190046110580609
"ALB",2874803.94117647,"Net","iron",3617569633.12252,707523.886783203,18,"mg",200976090.729029,69.9094946442791,39306.8825990669,0.0136728915791666
"ALB",2874803.94117647,"Net","vitamina",29000017280.9381,5671820.3170229,900,"mcg",32222241.4232646,11.2085005038911,6302.02257446989,0.00219215734478605
"ALB",2874803.94117647,"Net","vitaminb12",6893220826.87058,1348175.40130463,2.4,"mcg",2872175344.52941,999.085643160073,561739.750543596,0.195401064572672
"ARE",8653259.64705882,"Net","protein",270179422090.414,52841662.8379452,50,"g",5403588441.80827,624.456986407996,1056833.2567589,0.122131231450811
"ARE",8653259.64705882,"Net","fattyacids",10686659753.6057,2090095.78595848,1.4,"g",7633328395.43264,882.133289277544,1492925.56139891,0.172527535552033
"ARE",8653259.64705882,"Net","calcium",1210479476862.3,236745448.242187,1300,"mg",931138059.124846,107.605468586781,182111.88326322,0.0210454661816509
"ARE",8653259.64705882,"Net","zinc",12237549667.9991,2393418.67162118,11,"mg",1112504515.27265,128.564790685644,217583.515601926,0.0251446881841666
"ARE",8653259.64705882,"Net","iron",17078755813.5835,3340261.25827957,18,"mg",948819767.421304,109.648826698942,185570.069904421,0.0214451059454219
"ARE",8653259.64705882,"Net","vitamina",312332073404.25,61085873.9300314,900,"mcg",347035637.115834,40.1046138993169,67873.1932555904,0.00784365615085409
"ARE",8653259.64705882,"Net","vitaminb12",55337200984.6909,10822843.9242501,2.4,"mcg",23057167076.9545,2664.56433961178,4509518.30177089,0.521135212128257
"ARG",43162655.7058824,"Net","protein",-1688409267019.19,-330218906.125403,50,"g",-33768185340.3837,-782.347258020588,-6604378.12250807,-0.153011394097514
