"Country_iso","Year","Pop","Country"
"ASM","1990",47040,"American Samoa"
"ASM","1991",48210,"American Samoa"
"ASM","1992",49370,"American Samoa"
"ASM","1993",50540,"American Samoa"
"ASM","1994",51700,"American Samoa"
"ASM","1995",52870,"American Samoa"
"ASM","1996",53800,"American Samoa"
"ASM","1997",54730,"American Samoa"
"ASM","1998",55660,"American Samoa"
"ASM","1999",56590,"American Samoa"
"ASM","2000",57520,"American Samoa"
"ASM","2001",57840,"American Samoa"
"ASM","2002",58160,"American Samoa"
"ASM","2003",58480,"American Samoa"
"ASM","2004",58800,"American Samoa"
"ASM","2005",59120,"American Samoa"
"ASM","2006",58400,"American Samoa"
"ASM","2007",57670,"American Samoa"
"ASM","2008",56950,"American Samoa"
"ASM","2009",56220,"American Samoa"
"ASM","2010",55502,"American Samoa"
"ASM","2011",55660,"American Samoa"
"ASM","2012",55799,"American Samoa"
"ASM","2013",55930,"American Samoa"
"ASM","2014",56050,"American Samoa"
"ASM","2015",56181,"American Samoa"
"ASM","2016",56303,"American Samoa"
"ASM","2017",56427,"American Samoa"
"ASM","2018",56556,"American Samoa"
"ASM","2019",56687,"American Samoa"
"ASM","2020",56813,"American Samoa"
"ASM","2021",56951,"American Samoa"
"ASM","2022",57085,"American Samoa"
"ASM","2023",57225,"American Samoa"
"ASM","2024",57359,"American Samoa"
"ASM","2025",57489,"American Samoa"
"ASM","2026",57619,"American Samoa"
"ASM","2027",57741,"American Samoa"
"COK","1990",18360,"Cook Islands"
"COK","1991",18480,"Cook Islands"
"COK","1992",18600,"Cook Islands"
"COK","1993",18720,"Cook Islands"
"COK","1994",18840,"Cook Islands"
"COK","1995",18960,"Cook Islands"
"COK","1996",18790,"Cook Islands"
"COK","1997",18620,"Cook Islands"
"COK","1998",18460,"Cook Islands"
"COK","1999",18290,"Cook Islands"
"COK","2000",18120,"Cook Islands"
"COK","2001",18440,"Cook Islands"
"COK","2002",18760,"Cook Islands"
"COK","2003",19070,"Cook Islands"
"COK","2004",19390,"Cook Islands"
"COK","2005",19710,"Cook Islands"
"COK","2006",19480,"Cook Islands"
"COK","2007",19250,"Cook Islands"
"COK","2008",19010,"Cook Islands"
"COK","2009",18780,"Cook Islands"
"COK","2010",18550,"Cook Islands"
"COK","2011",17960,"Cook Islands"
"COK","2012",17370,"Cook Islands"
"COK","2013",16780,"Cook Islands"
"COK","2014",16190,"Cook Islands"
"COK","2015",15600,"Cook Islands"
"COK","2016",15011,"Cook Islands"
"COK","2017",15076,"Cook Islands"
"COK","2018",15153,"Cook Islands"
"COK","2019",15216,"Cook Islands"
"COK","2020",15281,"Cook Islands"
"COK","2021",15342,"Cook Islands"
"COK","2022",15406,"Cook Islands"
"COK","2023",15470,"Cook Islands"
"COK","2024",15539,"Cook Islands"
"COK","2025",15590,"Cook Islands"
"COK","2026",15659,"Cook Islands"
"COK","2027",15715,"Cook Islands"
"FJI","1990",728600,"Fiji"
"FJI","1991",738000,"Fiji"
"FJI","1992",747400,"Fiji"
"FJI","1993",756700,"Fiji"
"FJI","1994",766100,"Fiji"
"FJI","1995",775500,"Fiji"
"FJI","1996",782600,"Fiji"
"FJI","1997",789800,"Fiji"
"FJI","1998",796900,"Fiji"
"FJI","1999",804100,"Fiji"
"FJI","2000",811200,"Fiji"
"FJI","2001",813300,"Fiji"
"FJI","2002",815400,"Fiji"
"FJI","2003",817600,"Fiji"
"FJI","2004",819700,"Fiji"
"FJI","2005",821800,"Fiji"
"FJI","2006",829400,"Fiji"
"FJI","2007",837100,"Fiji"
"FJI","2008",844700,"Fiji"
"FJI","2009",852400,"Fiji"
"FJI","2010",860000,"Fiji"
"FJI","2011",863300,"Fiji"
"FJI","2012",866600,"Fiji"
"FJI","2013",870000,"Fiji"
"FJI","2014",873300,"Fiji"
"FJI","2015",876600,"Fiji"
"FJI","2016",879900,"Fiji"
"FJI","2017",883270,"Fiji"
"FJI","2018",887394,"Fiji"
"FJI","2019",891296,"Fiji"
"FJI","2020",894961,"Fiji"
"FJI","2021",898402,"Fiji"
"FJI","2022",901603,"Fiji"
"FJI","2023",904590,"Fiji"
"FJI","2024",907363,"Fiji"
"FJI","2025",909952,"Fiji"
"FJI","2026",912372,"Fiji"
"FJI","2027",914640,"Fiji"
"PYF","1990",198400,"French Polynesia"
"PYF","1991",201800,"French Polynesia"
